"","NTD.ID","Agency.Name","Reporter.Type","Reporting.Module","Mode","TOS","Bio.Diesel","Bunker.Fuel","C.Natural.Gas","Diesel.Fuel","Electric.Battery","Electric.Propulsion","Ethanol","Methonal","Gasoline","Hydrogen","Kerosene","Liquified.Nat.Gas","Liquified.Petroleum.Gas","Renewable.Diesel","Passenger.Paid.Fares","Organization.Paid.Fares","Total.Fares"
"1",1,"King County","Full Reporter","Urban","DR","PT",0,0,0,17880,0,0,0,0,940728,0,0,0,292568,0,793856,23036,816892
"2",1,"King County","Full Reporter","Urban","FB","DO",208441,0,0,5591,0,0,0,0,0,0,0,0,0,0,712236,781044,1493280
"3",1,"King County","Full Reporter","Urban","MB","DO",396458,0,0,7006268,2411807,0,0,0,0,0,0,0,0,0,28801889,31584416,60386305
"4",1,"King County","Full Reporter","Urban","MB","PT",0,0,0,43135,0,0,0,0,126689,0,0,0,0,0,213363,128188,341551
"5",1,"King County","Full Reporter","Urban","SR","DO",0,0,0,0,0,2122439,0,0,0,0,0,0,0,0,294664,323131,617795
"6",1,"King County","Full Reporter","Urban","TB","DO",0,0,0,0,0,13113330,0,0,0,0,0,0,0,0,4923976,5399678,10323654
"7",1,"King County","Full Reporter","Urban","VP","DO",0,0,0,0,0,0,0,0,379932,0,0,0,0,0,3178494,3485565,6664059
"8",2,"Spokane Transit Authority","Full Reporter","Urban","DR","DO",0,0,0,30325,0,0,0,0,122502,0,0,0,0,0,426672,0,426672
"9",2,"Spokane Transit Authority","Full Reporter","Urban","DR","PT",0,0,0,101317,0,0,0,0,29858,0,0,0,0,0,59370,0,59370
"10",2,"Spokane Transit Authority","Full Reporter","Urban","MB","DO",0,0,0,1335531,1202138,0,0,0,0,0,0,0,0,0,4758619,1005681,5764300
"11",2,"Spokane Transit Authority","Full Reporter","Urban","VP","DO",0,0,0,0,0,0,0,0,56463,0,0,0,0,0,284041,0,284041
"12",3,"Pierce County Transportation Benefit Area Authority","Full Reporter","Urban","DR","DO",0,0,16539,0,0,0,0,0,30673,0,0,0,0,0,64780,0,64780
"13",3,"Pierce County Transportation Benefit Area Authority","Full Reporter","Urban","DR","PT",0,0,0,0,0,0,0,0,288887,0,0,0,0,0,322833,0,322833
"14",3,"Pierce County Transportation Benefit Area Authority","Full Reporter","Urban","MB","DO",0,0,1036567,996,265806,0,0,0,56,0,0,0,0,0,4177021,113454,4290475
"15",3,"Pierce County Transportation Benefit Area Authority","Full Reporter","Urban","VP","DO",0,0,0,0,0,0,0,0,204380,0,0,0,0,0,1599237,0,1599237
"16",5,"City of Everett","Full Reporter","Urban","DR","DO",0,0,0,0,0,0,0,0,68222,0,0,0,0,0,121136,0,121136
"17",5,"City of Everett","Full Reporter","Urban","MB","DO",0,0,0,220672,1043955,0,0,0,0,0,0,0,0,0,845469,123740,969209
"18",6,"City of Yakima","Full Reporter","Urban","CB","PT",0,0,0,19140,0,0,0,0,3337,0,0,0,0,0,204846,0,204846
"19",6,"City of Yakima","Full Reporter","Urban","DR","PT",0,0,0,0,0,0,0,0,33001,0,0,0,0,0,86441,0,86441
"20",6,"City of Yakima","Full Reporter","Urban","MB","DO",0,0,0,154538,0,0,0,0,0,0,0,0,0,0,295091,0,295091
"21",7,"Lane Transit District","Full Reporter","Urban","DR","PT",0,0,0,0,0,0,0,0,94756,0,0,0,0,0,282585,0,282585
"22",7,"Lane Transit District","Full Reporter","Urban","MB","DO",0,0,0,441921,920696,0,0,0,0,0,0,0,0,0,1351900,1110869,2462769
"23",7,"Lane Transit District","Full Reporter","Urban","MB","PT",0,0,0,8382,0,0,0,0,5806,0,0,0,0,0,23965,0,23965
